LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
BRA,FDIFLOW,INWARD,MLN_USD,A,2005,15066.29173,
BRA,FDIFLOW,INWARD,MLN_USD,A,2006,18822.20795,
BRA,FDIFLOW,INWARD,MLN_USD,A,2007,34584.90103,
BRA,FDIFLOW,INWARD,MLN_USD,A,2008,45058.1563,
BRA,FDIFLOW,INWARD,MLN_USD,A,2009,25948.5798,
BRA,FDIFLOW,INWARD,MLN_USD,A,2010,77686.84826,
BRA,FDIFLOW,INWARD,MLN_USD,A,2011,97421.78634,
BRA,FDIFLOW,INWARD,MLN_USD,A,2012,82059.82977,
BRA,FDIFLOW,INWARD,MLN_USD,A,2013,59089.34461,
BRA,FDIFLOW,INWARD,MLN_USD,A,2014,63845.8865,
BRA,FDIFLOW,INWARD,MLN_USD,A,2015,49961.36699,
BRA,FDIFLOW,INWARD,MLN_USD,A,2016,53700.38366,
BRA,FDIFLOW,INWARD,MLN_USD,A,2017,66584.92744,
BRA,FDIFLOW,INWARD,MLN_USD,A,2018,59802.40649,
BRA,FDIFLOW,INWARD,MLN_USD,A,2019,71989.27023,
CHN,FDIFLOW,INWARD,MLN_USD,A,2005,104108.6939,
CHN,FDIFLOW,INWARD,MLN_USD,A,2006,124082.0356,
CHN,FDIFLOW,INWARD,MLN_USD,A,2007,156249.3352,
CHN,FDIFLOW,INWARD,MLN_USD,A,2008,171534.6503,
CHN,FDIFLOW,INWARD,MLN_USD,A,2009,131057.0529,
CHN,FDIFLOW,INWARD,MLN_USD,A,2010,243703.4346,
CHN,FDIFLOW,INWARD,MLN_USD,A,2011,280072.2191,
CHN,FDIFLOW,INWARD,MLN_USD,A,2012,241213.8682,
CHN,FDIFLOW,INWARD,MLN_USD,A,2013,290928.4315,
CHN,FDIFLOW,INWARD,MLN_USD,A,2014,268097.1811,
CHN,FDIFLOW,INWARD,MLN_USD,A,2015,242489.3316,
CHN,FDIFLOW,INWARD,MLN_USD,A,2016,174749.5846,
CHN,FDIFLOW,INWARD,MLN_USD,A,2017,166083.7557,
CHN,FDIFLOW,INWARD,MLN_USD,A,2018,235365.1,
CHN,FDIFLOW,INWARD,MLN_USD,A,2019,155815.3,
IND,FDIFLOW,INWARD,MLN_USD,A,2005,7606,
IND,FDIFLOW,INWARD,MLN_USD,A,2006,20336,
IND,FDIFLOW,INWARD,MLN_USD,A,2007,25483,
IND,FDIFLOW,INWARD,MLN_USD,A,2008,47472.18879,
IND,FDIFLOW,INWARD,MLN_USD,A,2009,35582.37047,
IND,FDIFLOW,INWARD,MLN_USD,A,2010,27396.53729,
IND,FDIFLOW,INWARD,MLN_USD,A,2011,36497.46498,
IND,FDIFLOW,INWARD,MLN_USD,A,2012,23995.48781,
IND,FDIFLOW,INWARD,MLN_USD,A,2013,28153.03424,
IND,FDIFLOW,INWARD,MLN_USD,A,2014,34576.64914,
IND,FDIFLOW,INWARD,MLN_USD,A,2015,44009.49213,
IND,FDIFLOW,INWARD,MLN_USD,A,2016,44458.57155,
IND,FDIFLOW,INWARD,MLN_USD,A,2017,39966.09136,
IND,FDIFLOW,INWARD,MLN_USD,A,2018,42117.45071,
IND,FDIFLOW,INWARD,MLN_USD,A,2019,50609.92,
RUS,FDIFLOW,INWARD,MLN_USD,A,2005,14375,
RUS,FDIFLOW,INWARD,MLN_USD,A,2006,37442,
RUS,FDIFLOW,INWARD,MLN_USD,A,2007,54922,
RUS,FDIFLOW,INWARD,MLN_USD,A,2008,75856,
RUS,FDIFLOW,INWARD,MLN_USD,A,2009,27752,
RUS,FDIFLOW,INWARD,MLN_USD,A,2010,31668,
RUS,FDIFLOW,INWARD,MLN_USD,A,2011,36868,
RUS,FDIFLOW,INWARD,MLN_USD,A,2012,30188,
RUS,FDIFLOW,INWARD,MLN_USD,A,2013,53397,
RUS,FDIFLOW,INWARD,MLN_USD,A,2014,29152,
RUS,FDIFLOW,INWARD,MLN_USD,A,2015,11858,
RUS,FDIFLOW,INWARD,MLN_USD,A,2016,37176,
RUS,FDIFLOW,INWARD,MLN_USD,A,2017,25954,
RUS,FDIFLOW,INWARD,MLN_USD,A,2018,13228,
RUS,FDIFLOW,INWARD,MLN_USD,A,2019,32076,
ZAF,FDIFLOW,INWARD,MLN_USD,A,2005,6683.003953,
ZAF,FDIFLOW,INWARD,MLN_USD,A,2006,302.5824964,
ZAF,FDIFLOW,INWARD,MLN_USD,A,2007,6764.023495,
ZAF,FDIFLOW,INWARD,MLN_USD,A,2008,8171.750806,
ZAF,FDIFLOW,INWARD,MLN_USD,A,2009,8613.821138,
ZAF,FDIFLOW,INWARD,MLN_USD,A,2010,4014.630468,
ZAF,FDIFLOW,INWARD,MLN_USD,A,2011,3784.766585,
ZAF,FDIFLOW,INWARD,MLN_USD,A,2012,4403.294118,
ZAF,FDIFLOW,INWARD,MLN_USD,A,2013,8295.859213,
ZAF,FDIFLOW,INWARD,MLN_USD,A,2014,5772.073733,
ZAF,FDIFLOW,INWARD,MLN_USD,A,2015,1729.381059,
ZAF,FDIFLOW,INWARD,MLN_USD,A,2016,2235.002991,
ZAF,FDIFLOW,INWARD,MLN_USD,A,2017,2006.85476,
ZAF,FDIFLOW,INWARD,MLN_USD,A,2018,5446.684138,
ZAF,FDIFLOW,INWARD,MLN_USD,A,2019,4624.456687,
